"Időbélyeg"," Mi a kutyája fajtája?","Milyen idős a kutyája?","Milyen színekből áll a kutyája szőre?","Mekkora a kutyája? ","Mekkora a kutyája eledeligénye?","Milyen hosszú a kutyája szőre?","Mennyire göndör a kutyája szőre?","Mennyi ápolást igényel a kutyája?","Milyen gyakran kell a kutyája után a levedlett szőrt eltakarítania?","Mennyi mozgást igényel a kutyája?","Mennyire játékos a kutyája?","Mennyire tanulékony a kutyája? ","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta kisgyermekes családok számára?","Tapasztalatai alapján mennyire alkalmas ez a kutyafajta macskával is rendelkező családok számára?","Milyen gyakran volt egészségügyi problémája a kutyájának?","Mennyire szokott hangos lenni a kutyája?","Mennyire tűri jól a kutyája az egyedüllétet?","Mennyire jellemző a kutyájára, hogy amikor veszélyt érez, megpróbálja megvédeni önt?"
"2024/02/01 2:06:03 de. EET","Labrador retriever","Idős","sárgásbarna;krémszínű","4","3","1","1","1","4","1","4","5","5","5","4","1","3","2"
"2024/02/01 2:10:12 de. EET","Keverék","Kölyök","fekete","3","4","3","4","1","2","5","5","5","4","5","1","2","2","4"
"2024/02/01 2:13:07 de. EET","Keverék","Középkorú","szürke","3","3","2","1","1","1","5","5","4","3","5","2","3","2","4"
"2024/02/01 2:13:16 de. EET","Beagle","Középkorú","fekete;fehér;barna","3","3","1","1","3","3","4","4","4","5","2","2","3","2","5"
"2024/02/01 2:14:11 de. EET","Rottweiler","Idős","fekete;vörös","5","2","1","1","1","2","5","5","4","5","3","2","1","4","5"
"2024/02/01 2:16:04 de. EET","Tacskó","Középkorú","fekete;vörös","1","2","1","1","1","1","3","3","3","3","1","1","1","5","5"
"2024/02/01 2:18:06 de. EET","Shar pei","Kölyök","szürke","3","1","1","1","1","2","3","2","2","3","5","2","1","2","5"
"2024/02/01 2:18:08 de. EET","Labrador retriever","Középkorú","krémszínű","4","4","3","1","3","3","5","5","5","5","3","4","4","3","5"
"2024/02/01 2:18:55 de. EET","Csivava","Középkorú","fekete;fehér;barna","1","1","3","1","3","4","3","3","5","5","5","2","1","1","1"
"2024/02/01 2:19:18 de. EET","Keverék","Középkorú","fekete;fehér","2","2","1","1","1","5","5","5","4","2","2","2","1","3","5"
"2024/02/01 2:19:41 de. EET","Puli","Középkorú","fekete","3","4","4","5","4","2","5","3","4","4","4","1","5","2","3"
"2024/02/01 2:23:28 de. EET","Beagle","Középkorú","fekete;fehér;barna","5","5","2","3","3","4","5","4","4","3","2","3","5","4","3"
"2024/02/01 2:23:30 de. EET","Német juhászkutya","Középkorú","szürke;barna","4","3","3","1","3","4","5","5","5","5","2","2","4","2","5"
"2024/02/01 2:25:59 de. EET","Keverék","Idős","fekete;fehér","2","2","4","3","2","2","3","3","3","3","1","1","2","4","4"
"2024/02/01 2:28:35 de. EET","Labrador retriever","Idős","sárgásbarna","4","3","3","1","3","5","5","5","5","4","4","2","2","5","5"
"2024/02/01 2:30:53 de. EET","Keverék","Kölyök","fehér;barna;sárgásbarna","3","5","4","1","4","3","5","4","5","5","4","2","3","1","5"
"2024/02/01 2:36:41 de. EET","Vizsla","Középkorú","barna","3","4","1","1","1","5","5","5","5","4","2","2","4","3","2"
"2024/02/01 2:37:36 de. EET","Rottweiler","Középkorú","fekete;barna","5","4","2","1","1","1","3","4","4","5","5","1","5","4","5"
"2024/02/01 2:38:56 de. EET","Keverék","Középkorú","fekete;fehér","3","2","2","1","1","1","5","5","5","3","5","1","2","5","5"
"2024/02/01 2:49:05 de. EET","Rottweiler","Középkorú","fekete;sárgásbarna","4","4","2","1","3","3","4","4","5","4","3","4","3","4","5"
"2024/02/01 2:51:13 de. EET","Vizsla","Idős","barna","4","4","1","1","2","2","5","5","5","5","5","2","3","1","5"
"2024/02/01 2:53:44 de. EET","Uszkár","Kölyök","fehér;krémszínű","2","2","3","2","4","1","3","5","4","3","3","2","3","3","4"
"2024/02/01 2:55:12 de. EET","Vizsla","Középkorú","vörös","4","4","1","1","1","2","5","5","3","2","3","3","3","4","2"
"2024/02/01 3:00:20 de. EET","Rottweiler","Kölyök","fekete;barna","4","4","3","1","3","5","4","5","5","3","1","2","5","3","4"
"2024/02/01 3:01:40 de. EET","Jack Russell terrier","Középkorú","fekete;fehér;barna","1","2","1","1","2","3","5","5","5","5","5","1","1","2","5"
"2024/02/01 3:03:56 de. EET","Golden retriever","Idős","krémszínű","4","3","4","2","5","5","4","3","5","3","3","1","1","4","3"
"2024/02/01 3:07:43 de. EET","Keverék","Idős","sárgásbarna","1","2","1","1","1","1","5","4","3","5","5","2","3","5","5"
"2024/02/01 3:09:22 de. EET","Bullterrier","Középkorú","fehér","3","3","2","1","2","2","2","4","4","5","1","5","1","5","1"
"2024/02/01 3:11:10 de. EET","Francia bulldog","Kölyök","fekete;szürke","2","3","1","1","4","4","5","5","3","5","1","5","1","2","1"
"2024/02/01 3:12:48 de. EET","Keverék","Középkorú","fekete;fehér","5","5","2","1","2","2","5","5","4","4","1","2","3","5","5"
"2024/02/01 3:16:05 de. EET","Akita","Középkorú","fehér;krémszínű","5","4","3","1","4","5","3","5","5","3","1","2","1","5","5"
"2024/02/01 3:16:34 de. EET","foxterrier","Középkorú","fekete;fehér;barna","2","3","3","4","3","2","5","5","5","4","2","2","3","3","3"
"2024/02/01 3:19:19 de. EET","Csivava","Idős","fehér;szürke","1","2","2","1","3","3","3","4","5","5","1","3","5","5","5"
"2024/02/01 3:20:24 de. EET","Malinois","Kölyök","fekete;fehér;szürke;barna","3","3","2","1","2","4","4","3","5","3","3","1","2","4","3"
"2024/02/01 3:22:36 de. EET","Tacskó","Középkorú","barna;vörös","3","3","1","1","2","1","3","4","3","5","5","1","2","4","5"
"2024/02/01 3:22:44 de. EET","Dán dog","Középkorú","fekete;szürke","5","5","1","1","2","5","4","5","4","5","4","2","3","3","2"
"2024/02/01 3:26:14 de. EET","Máltai selyemkutya","Középkorú","fehér;barna","2","3","3","2","2","1","3","3","5","5","5","2","1","3","3"
"2024/02/01 3:31:42 de. EET","Rottweiler","Középkorú","fekete;vörös","4","4","1","1","3","3","3","5","5","4","5","2","3","3","5"
"2024/02/01 3:32:48 de. EET","Keverék","Idős","krémszínű","2","3","4","3","4","5","3","1","3","5","5","3","4","5","5"
"2024/02/01 3:33:48 de. EET","Jack Russell terrier","Középkorú","fehér;barna","2","3","2","1","2","3","5","5","4","3","2","4","4","3","3"
"2024/02/01 3:37:35 de. EET","Francia bulldog","Idős","fekete;fehér","3","3","2","1","4","2","2","5","5","4","1","3","2","1","5"
"2024/02/01 3:43:08 de. EET","Jack Russell terrier","Középkorú","fehér;barna","5","2","3","1","2","5","3","5","4","2","1","2","4","3","5"
"2024/02/01 3:51:12 de. EET","Jack Russell terrier","Középkorú","fekete;fehér;barna","2","3","1","1","2","2","3","3","5","4","2","2","4","4","4"
"2024/02/01 4:04:08 de. EET","Vizsla","Középkorú","barna","3","3","1","1","3","4","5","5","5","5","4","2","4","2","4"
"2024/02/01 4:09:16 de. EET","Cavalier King Charles spániel","Középkorú","fehér;barna","2","2","4","2","3","4","3","3","5","5","5","2","1","4","3"
"2024/02/01 4:09:42 de. EET","Beagle","Középkorú","fekete;fehér;sárgásbarna","3","5","2","1","1","3","4","4","4","4","3","2","5","3","5"
"2024/02/01 4:15:26 de. EET","Tacskó","Kölyök","fekete;fehér;barna","1","1","1","1","1","3","3","5","5","5","1","1","1","5","5"
"2024/02/01 4:20:05 de. EET","Shar pei","Kölyök","fekete","3","3","1","1","1","1","4","4","4","4","5","2","1","4","5"
"2024/02/01 4:20:37 de. EET","Keverék","Középkorú","fekete;fehér","1","1","3","4","3","3","2","2","1","4","4","2","1","5","3"
"2024/02/01 4:22:14 de. EET","Shar pei","Idős","vörös","4","4","2","1","2","2","4","2","3","4","2","3","1","5","4"
"2024/02/01 4:23:02 de. EET","Keverék","Középkorú","fekete;fehér","3","3","2","1","2","2","3","3","5","4","5","1","1","4","2"
"2024/02/01 4:23:53 de. EET","Shar pei","Idős","krémszínű","2","3","2","1","2","2","4","1","3","4","3","3","2","5","4"
"2024/02/01 4:40:33 de. EET","Német juhászkutya","Idős","fekete;vörös","4","5","5","1","2","5","5","1","4","5","1","4","5","3","5"
"2024/02/01 4:43:53 de. EET","Keverék","Idős","fekete;fehér;sárgásbarna","4","3","2","1","1","1","3","3","3","5","1","3","3","3","1"
"2024/02/01 4:44:51 de. EET","Dalmata","Kölyök","fekete;fehér","4","3","1","1","3","5","5","5","4","4","4","3","3","1","2"
"2024/02/01 4:48:21 de. EET","Alaszkai malamut","Középkorú","fekete;fehér;szürke","5","5","5","1","5","5","5","4","5","5","1","2","1","4","3"
"2024/02/01 4:54:41 de. EET","Keverék","Középkorú","fekete;fehér","2","2","2","2","2","2","4","3","3","4","1","1","5","3","4"
"2024/02/01 4:55:06 de. EET","Malinois","Középkorú","vörös","3","4","2","1","1","2","5","5","5","5","5","3","2","2","5"
"2024/02/01 4:55:34 de. EET","Boxer","Középkorú","fekete;fehér;barna;vörös","3","4","2","1","1","3","3","4","4","5","3","1","1","2","5"
"2024/02/01 4:56:54 de. EET","Jack Russell terrier","Középkorú","fehér;barna","2","3","3","3","4","3","5","5","4","5","4","2","2","3","3"
"2024/02/01 4:58:29 de. EET","Bullterrier","Idős","fehér","3","3","1","1","1","3","2","3","2","3","1","2","3","5","5"
"2024/02/01 5:00:49 de. EET","Tacskó","Kölyök","fekete;barna","2","2","1","1","1","1","3","4","4","5","4","3","3","4","4"
"2024/02/01 5:02:03 de. EET","Jack Russell terrier","Középkorú","fehér;barna","3","4","2","1","3","4","4","2","4","3","1","1","3","3","4"
"2024/02/01 5:03:56 de. EET","foxterrier","Középkorú","fehér;barna","3","3","2","1","3","3","5","5","5","5","1","1","3","2","5"
"2024/02/01 5:04:24 de. EET","Keverék","Kölyök","fehér;szürke;barna;sárgásbarna;krémszínű","3","4","4","2","2","5","4","2","3","5","3","3","5","1","5"
"2024/02/01 5:05:53 de. EET","Bichon","Középkorú","fehér","4","3","4","1","4","1","5","5","5","3","5","2","1","2","5"
"2024/02/01 5:07:17 de. EET","Bichon","Középkorú","fehér","2","4","3","2","4","1","2","1","2","5","5","1","1","4","5"
"2024/02/01 5:08:42 de. EET","Bichon","Idős","fehér","2","2","2","1","4","1","1","5","4","5","5","3","1","2","5"
"2024/02/01 5:10:44 de. EET","Bichon","Középkorú","fekete;fehér","1","1","3","2","5","1","3","5","5","5","5","1","2","4","4"
"2024/02/01 5:11:30 de. EET","Shar pei","Középkorú","fekete","4","3","3","1","1","3","3","2","3","3","1","2","3","5","4"
"2024/02/01 5:15:05 de. EET","Német juhászkutya","Középkorú","fekete","5","3","2","1","1","4","5","5","5","3","1","4","3","3","4"
"2024/02/01 5:18:46 de. EET","Tacskó","Idős","fehér;barna","2","3","2","1","3","2","2","3","3","2","4","2","2","3","3"
"2024/02/01 5:22:19 de. EET","Német juhászkutya","Idős","fekete;fehér;barna","5","4","5","1","3","4","5","5","4","5","1","4","5","4","5"
"2024/02/01 5:25:08 de. EET","Rottweiler","Középkorú","fekete;barna","4","3","2","1","2","4","3","5","4","3","4","1","2","5","2"
"2024/02/01 5:25:25 de. EET","Jack Russell terrier","Idős","fekete;fehér;barna","2","2","4","3","3","5","4","4","5","3","3","4","1","4","5"
"2024/02/01 5:26:13 de. EET","Labrador retriever","Idős","krémszínű","4","5","3","2","1","4","4","3","5","5","3","4","2","3","3"
"2024/02/01 5:27:21 de. EET","Akita","Középkorú","fekete;fehér;sárgásbarna","3","2","3","1","2","3","4","4","4","1","2","2","2","3","3"
"2024/02/01 5:30:10 de. EET","Alaszkai malamut","Középkorú","fekete;fehér","4","3","3","1","2","4","4","5","4","5","4","4","1","2","1"
"2024/02/01 5:33:23 de. EET","Basset hound","Középkorú","fekete;fehér;vörös","3","3","1","1","3","3","3","3","3","5","5","2","2","3","1"
"2024/02/01 5:35:09 de. EET","Golden retriever","Középkorú","krémszínű","4","4","4","4","4","5","4","5","5","5","3","2","2","5","5"
"2024/02/01 5:36:06 de. EET","Keverék","Középkorú","fekete","3","3","2","1","2","3","3","2","5","5","5","2","2","3","3"
"2024/02/01 5:39:51 de. EET","Bichon","Középkorú","fekete;fehér;krémszínű","2","3","3","3","3","1","3","4","4","5","5","1","3","2","3"
"2024/02/01 5:39:58 de. EET","Tacskó","Középkorú","fekete;szürke;barna","2","3","3","3","2","4","4","3","2","4","2","2","2","2","2"
"2024/02/01 5:41:26 de. EET","Keverék","Középkorú","szürke","5","4","3","1","1","5","2","5","5","1","1","3","2","3","5"
"2024/02/01 5:50:56 de. EET","Bullmasztiff","Kölyök","vörös","5","5","1","1","3","2","3","4","4","5","4","1","3","3","4"
"2024/02/01 5:56:08 de. EET","Rottweiler","Idős","fekete;barna;sárgásbarna","4","4","4","3","1","5","3","5","5","3","1","3","4","5","5"
"2024/02/01 5:58:34 de. EET","Bullmasztiff","Kölyök","barna","5","5","2","1","1","1","2","5","5","5","5","4","1","3","4"
"2024/02/01 6:01:54 de. EET","Beagle","Középkorú","fekete;fehér;barna","3","2","2","1","1","4","5","5","5","5","5","1","1","1","1"
"2024/02/01 6:03:57 de. EET","Beagle","Kölyök","fekete;fehér;barna","3","2","2","1","1","4","5","5","3","2","1","2","5","4","4"
"2024/02/01 6:04:00 de. EET","foxterrier","Idős","fekete;fehér;barna","3","2","3","5","5","2","5","5","5","5","1","1","3","2","5"
"2024/02/01 6:04:03 de. EET","Újfundlandi","Középkorú","fekete;fehér","5","3","5","1","5","5","2","4","5","5","5","1","1","3","5"
"2024/02/01 6:04:14 de. EET","Basset hound","Középkorú","fekete;fehér;barna","4","4","1","1","1","2","3","4","5","5","5","1","2","3","4"
"2024/02/01 6:05:25 de. EET","Dán dog","Idős","fehér;szürke","5","3","1","1","1","2","1","2","5","5","2","1","3","2","5"
"2024/02/01 6:07:04 de. EET","Beagle","Középkorú","fekete;fehér;barna","3","3","2","1","2","5","5","5","4","5","2","2","4","1","2"
"2024/02/01 6:07:40 de. EET","Bullterrier","Középkorú","fehér","3","2","1","1","1","2","2","5","4","5","5","1","1","5","3"
"2024/02/01 6:08:54 de. EET","Labrador retriever","Középkorú","krémszínű","5","3","4","2","5","5","5","5","5","3","1","1","5","1","5"
"2024/02/01 6:09:37 de. EET","Puli","Középkorú","fekete","2","2","4","5","5","1","5","5","5","4","1","2","5","3","5"
"2024/02/01 6:10:04 de. EET","Basset hound","Középkorú","fekete;fehér;sárgásbarna","3","4","3","1","3","4","3","4","3","5","5","2","2","3","2"
"2024/02/01 6:12:46 de. EET","Keverék","Középkorú","fekete;fehér;barna","3","3","3","1","2","4","2","4","4","2","3","2","1","4","4"
"2024/02/01 6:13:31 de. EET","Rottweiler","Középkorú","fekete;vörös","3","3","3","1","2","2","4","4","5","5","3","2","1","1","5"
"2024/02/01 6:14:09 de. EET","Rottweiler","Kölyök","fekete;vörös","5","4","2","1","1","1","5","5","5","5","1","1","2","5","4"
"2024/02/01 6:14:40 de. EET","Border collie","Kölyök","fekete;fehér","2","2","4","1","3","3","5","5","5","2","5","1","3","5","2"
"2024/02/01 6:17:13 de. EET","Yorkshire terrier","Kölyök","fekete;szürke;barna","1","2","1","1","5","1","2","2","5","5","1","1","2","3","5"
"2024/02/01 6:21:15 de. EET","Puli","Kölyök","fehér","3","3","4","2","5","5","5","5","5","5","5","5","4","3","5"
"2024/02/01 6:21:21 de. EET","Rottweiler","Középkorú","fekete;vörös","5","5","1","1","1","3","5","5","5","5","5","3","1","3","1"
"2024/02/01 6:23:15 de. EET","Golden retriever","Középkorú","krémszínű","5","5","3","1","2","2","3","5","5","5","5","3","3","3","4"
"2024/02/01 6:23:16 de. EET","Keverék","Idős","fehér;szürke;barna","2","1","2","1","1","3","3","4","2","5","5","2","3","5","5"
"2024/02/01 6:23:19 de. EET","Bullmasztiff","Középkorú","barna","5","4","2","1","2","3","3","4","3","5","3","3","3","3","4"
"2024/02/01 6:24:49 de. EET","Rottweiler","Középkorú","fekete;barna","4","4","3","1","3","3","5","5","5","4","3","4","2","3","5"
"2024/02/01 6:26:01 de. EET","Bullterrier","Idős","barna;sárgásbarna","2","5","1","1","1","3","2","5","3","5","3","3","2","5","2"
"2024/02/01 6:26:02 de. EET","Bichon","Középkorú","fehér","1","1","2","1","2","1","2","3","1","3","2","2","1","3","2"
"2024/02/01 6:27:42 de. EET","Malinois","Középkorú","fekete;vörös","3","4","1","1","1","3","5","5","5","1","2","2","1","4","3"
"2024/02/01 6:27:46 de. EET","Ausztrál juhászkutya","Kölyök","fekete;fehér;barna","3","5","5","2","1","5","5","5","5","5","5","1","1","3","3"
"2024/02/01 6:28:32 de. EET","Basset hound","Idős","fekete;fehér;barna","4","3","3","1","3","4","5","4","2","3","5","4","5","3","2"
"2024/02/01 6:29:23 de. EET","Malinois","Idős","fekete;fehér;vörös","4","3","2","1","1","4","4","4","5","1","2","2","1","5","5"
"2024/02/01 6:30:26 de. EET","Keverék","Kölyök","barna","2","3","3","3","3","5","5","5","5","5","3","1","5","3","5"
"2024/02/01 6:30:45 de. EET","Labrador retriever","Idős","fekete","3","2","1","1","1","5","2","1","5","5","2","1","1","5","1"
"2024/02/01 6:31:07 de. EET","Ausztrál juhászkutya","Kölyök","fekete;fehér;sárgásbarna","4","3","5","3","3","5","4","3","5","5","4","1","1","4","4"
"2024/02/01 6:31:31 de. EET","Ausztrál juhászkutya","Kölyök","fekete;fehér;sárgásbarna","3","4","3","1","4","3","5","5","5","5","3","1","1","4","2"
"2024/02/01 6:38:27 de. EET","Rottweiler","Középkorú","fekete;barna;sárgásbarna","4","5","2","2","1","4","5","5","4","4","4","2","2","2","3"
"2024/02/01 6:38:49 de. EET","Ausztrál juhászkutya","Középkorú","fekete;fehér;szürke;barna","3","3","4","2","4","5","3","3","4","4","4","4","4","5","3"
"2024/02/01 6:39:33 de. EET","Jack Russell terrier","Idős","barna","3","4","2","1","3","3","4","3","5","3","2","2","2","3","4"
"2024/02/01 6:40:54 de. EET","Német juhászkutya","Középkorú","sárgásbarna","5","3","4","1","4","4","5","5","5","5","1","2","3","3","5"
"2024/02/01 6:41:21 de. EET","Puli","Középkorú","fekete","3","3","5","5","2","1","3","4","5","5","5","2","3","5","5"
"2024/02/01 6:41:46 de. EET","Rottweiler","Idős","fekete;sárgásbarna","4","4","2","1","2","5","5","5","5","4","3","4","1","2","5"
"2024/02/01 6:41:49 de. EET","Beagle","Középkorú","fekete;fehér;barna","4","5","3","1","2","4","5","4","5","5","4","2","2","2","4"
"2024/02/01 6:42:02 de. EET","Dán dog","Középkorú","fekete","5","2","1","1","2","3","2","2","3","5","5","2","4","3","5"
"2024/02/01 6:44:02 de. EET","Tacskó","Középkorú","fekete;barna","2","3","1","1","1","2","4","4","5","5","1","1","4","4","5"
"2024/02/01 6:44:11 de. EET","Keverék","Középkorú","fekete;barna","3","3","1","1","1","2","5","5","5","2","3","5","5","1","5"
"2024/02/01 6:44:39 de. EET","Keverék","Idős","fehér;barna","3","2","2","1","2","2","3","1","3","5","1","3","2","5","1"
"2024/02/01 6:44:43 de. EET","Tacskó","Középkorú","fekete;fehér","1","2","1","1","1","1","2","1","3","5","5","1","3","3","2"
"2024/02/01 6:45:35 de. EET","Rottweiler","Középkorú","fekete;vörös","5","5","1","1","1","1","5","5","5","5","1","1","3","3","5"
"2024/02/01 6:46:09 de. EET","Staffordshire bullterrier","Középkorú","fekete;barna","3","3","3","1","3","3","5","5","5","5","5","1","3","5","5"
"2024/02/01 6:46:19 de. EET","Basset hound","Idős","fekete;fehér;barna","3","4","2","1","3","2","3","2","4","5","4","2","3","2","5"
"2024/02/01 6:46:31 de. EET","Bullterrier","Kölyök","fehér;barna;vörös","3","3","1","1","1","2","4","5","5","4","3","3","5","3","3"
"2024/02/01 6:47:02 de. EET","Basset hound","Kölyök","fekete;fehér;barna","3","3","3","1","2","2","3","3","3","4","1","3","3","2","5"
"2024/02/01 6:47:33 de. EET","Border collie","Kölyök","fekete;fehér","3","3","5","1","4","5","5","5","4","5","3","2","3","3","1"
"2024/02/01 6:48:10 de. EET","Puli","Kölyök","fekete","4","3","5","5","2","1","5","5","5","4","2","1","5","4","4"
"2024/02/01 6:48:29 de. EET","Újfundlandi","Középkorú","fekete","5","3","4","2","5","5","3","3","5","5","2","2","1","5","5"
"2024/02/01 6:48:39 de. EET","Rottweiler","Kölyök","fekete;vörös","4","4","3","1","1","1","4","4","5","5","1","1","1","3","3"
"2024/02/01 6:50:49 de. EET","Boxer","Középkorú","fehér","5","4","1","1","1","4","5","5","5","3","1","5","1","3","5"
"2024/02/01 6:51:27 de. EET","Keverék","Kölyök","krémszínű","2","3","3","1","2","2","5","5","5","5","3","1","3","4","5"
"2024/02/01 6:51:49 de. EET","Keverék","Középkorú","fekete","2","2","2","1","1","2","4","3","4","5","3","3","3","4","3"
"2024/02/01 6:52:00 de. EET","Alaszkai malamut","Középkorú","szürke","3","3","3","2","3","4","3","5","3","3","3","3","1","4","3"
"2024/02/01 6:53:05 de. EET","Újfundlandi","Középkorú","fekete;fehér","5","5","5","1","5","5","2","5","5","5","5","2","1","5","3"
"2024/02/01 6:53:29 de. EET","Jack Russell terrier","Középkorú","fehér;barna","2","3","1","1","1","2","4","4","3","3","2","2","4","3","3"
"2024/02/01 6:53:40 de. EET","Staffordshire bullterrier","Idős","fekete;fehér","1","4","1","1","1","1","3","5","3","5","5","2","2","3","2"
"2024/02/01 6:53:41 de. EET","Tacskó","Kölyök","barna","1","2","1","1","1","1","5","5","3","3","3","1","2","5","3"
"2024/02/01 6:54:00 de. EET","Tacskó","Középkorú","fekete;barna","2","3","5","5","4","4","5","5","4","5","5","2","3","4","5"
"2024/02/01 6:54:12 de. EET","Jack Russell terrier","Kölyök","fekete;fehér;barna","3","1","1","1","1","4","5","4","5","4","4","2","4","4","5"
"2024/02/01 6:55:45 de. EET","Amerikai staffordshire terrier","Idős","fehér;sárgásbarna","4","3","1","1","2","3","2","1","5","5","3","2","1","3","5"
"2024/02/01 6:57:34 de. EET","Újfundlandi","Középkorú","fekete","4","4","4","2","4","4","2","2","5","5","5","1","1","2","3"
"2024/02/01 6:57:37 de. EET","Puli","Kölyök","fehér","5","5","3","1","3","1","3","4","5","4","4","1","2","5","5"
"2024/02/01 6:59:05 de. EET","Labrador retriever","Középkorú","fekete","4","2","3","1","2","3","4","5","4","3","4","1","4","5","3"
"2024/02/01 6:59:06 de. EET","Puli","Középkorú","fekete","2","3","3","1","2","1","5","5","5","4","3","2","4","5","3"
"2024/02/01 7:00:57 de. EET","Dán dog","Kölyök","fekete;szürke","5","3","2","1","1","1","3","5","4","5","5","1","3","2","4"
"2024/02/01 7:02:53 de. EET","Tacskó","Középkorú","barna","2","2","2","1","2","1","3","3","4","1","1","1","3","2","2"
"2024/02/01 7:02:53 de. EET","Staffordshire bullterrier","Idős","fekete;barna","3","4","2","1","2","2","4","2","4","5","2","2","2","2","3"
"2024/02/01 7:03:14 de. EET","Keverék","Középkorú","fehér;sárgásbarna;vörös","4","4","4","3","3","5","3","3","3","4","5","2","2","5","4"
"2024/02/01 7:06:58 de. EET","Bullmasztiff","Kölyök","sárgásbarna","4","4","2","1","1","3","2","1","2","5","4","3","1","5","3"
"2024/02/01 7:07:18 de. EET","Jack Russell terrier","Középkorú","fehér;barna","2","4","1","1","1","3","5","1","5","1","1","2","5","3","5"
"2024/02/01 7:07:19 de. EET","Staffordshire bullterrier","Középkorú","fehér;sárgásbarna","4","3","1","1","2","2","4","5","5","5","5","2","2","3","4"
"2024/02/01 7:09:25 de. EET","Amerikai staffordshire terrier","Középkorú","barna","3","3","1","1","1","4","3","5","5","4","3","1","2","5","2"
"2024/02/01 7:09:51 de. EET","Shar pei","Középkorú","sárgásbarna;krémszínű","3","4","3","1","3","4","4","3","5","3","1","3","3","4","5"
"2024/02/01 7:09:53 de. EET","Bullterrier","Középkorú","fehér","5","4","1","1","1","3","5","5","4","5","3","2","1","3","5"
"2024/02/01 7:10:38 de. EET","Shiba Inu","Kölyök","fehér;vörös","2","3","3","1","1","4","4","4","5","4","3","4","2","3","3"
"2024/02/01 7:10:44 de. EET","Keverék","Középkorú","krémszínű","3","3","2","1","1","3","4","5","3","1","2","2","2","4","3"
