id,hungarianName,englishName,imageUri
14,Akita,Akita,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F14.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
15,Beagle,Beagle,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F15.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
16,Puli,Puli,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F16.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
17,Berni pásztorkutya,Bernese Mountain Dog,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F17.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
18,Mudi,Mudi,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F18.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
19,Máltai selyemkutya,Maltese,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F19.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
20,Jack Russell terrier,Jack Russell Terrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F20.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
21,Bullterrier,Bullterrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F21.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
22,Magyar vizsla,Hungarian Pointing Dog,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F22.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
23,Komondor,Komondor,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F23.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
24,Kuvasz,Kuvasz,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F24.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
25,Yorkshire terrier,Yorkshire Terrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F25.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
26,Ausztrál juhászkutya,Australian Shepherd,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F26.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
27,Szent Bernáthegyi,Saint Bernard Dog,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F27.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
28,Boston terrier,Boston Terrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F28.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
29,Shar pei,Shar Pei,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F29.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
30,Dobermann,Dobermann,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F30.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
31,Pumi,Pumi,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F31.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
32,Alaszkai malamut,Alaskan Malamute,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F32.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
33,Pekingi palotakutya,Pekingese,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F33.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
34,Chow-Chow,Chow Chow,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F34.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
35,Szamojéd,Samoyed,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F35.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
36,Basset Hound,Basset Hound,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F36.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
37,Dalmata,Dalmatian,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F37.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
38,Amerikai staffordshire terrier,American Staffordshire Terrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F38.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
39,Német dog,Great Dane,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F39.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
40,Amerikai cocker spániel,American Cocker Spaniel,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F40.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
41,Bullmasztiff,Bullmastiff,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F41.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
42,Schnauzer,Schnauzer,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F42.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
43,Malinois,Malinois,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F43.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
44,Foxterrier,Foxterrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F44.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
45,Staffordshire bullterrier,Staffordshire Bullterrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F45.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
46,Újfoundlandi,Newfoundland,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F46.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
47,Ír szetter,Irish Setter,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F47.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
48,Cavalier King Charles spániel,Cavalier King Charles Spaniel,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F48.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
49,Tibeti terrier,Tibetan Terrier,https://firebasestorage.googleapis.com/v0/b/kutyafulkesignin.appspot.com/o/breeds%2F49.png?alt=media&token=294fa5e1-74f6-4114-9726-e3d0ab699eae
