time,breedId,age,colors,size,feeding,hairLength,hairTexture,grooming,shedding,walking,playfulness,intelligence,kidTolerance,catTolerance,healthProblems,loudness,independence,defensiveness
1706767145000,2,1,black,4,2,3,1,2,3,4,5,4,3,4,1,4,5,3
1706767146000,16,1,black,2,3,3,1,2,1,5,5,5,4,3,2,4,5,3
1706767257000,39,0,black;gray,5,3,2,1,1,1,3,5,4,5,5,1,3,2,4
1706767373000,0,1,brown,2,2,2,1,2,1,3,3,4,1,1,1,3,2,2
1706767373000,45,2,black;brown,3,4,2,1,2,2,4,2,4,5,2,2,2,2,3
1706767618000,41,0,yellow,4,4,2,1,1,3,2,1,2,5,4,3,1,5,3
1706767638000,20,1,white;brown,2,4,1,1,1,3,5,1,5,1,1,2,5,3,5
1706767639000,45,1,white;yellow,4,3,1,1,2,2,4,5,5,5,5,2,2,3,4
1706767765000,38,1,brown,3,3,1,1,1,4,3,5,5,4,3,1,2,5,2
1706767791000,29,1,yellow;cream,3,4,3,1,3,4,4,3,5,3,1,3,3,4,5
1706767793000,21,1,white,5,4,1,1,1,3,5,5,4,5,3,2,1,3,5
1706767838000,9,0,white;red,2,3,3,1,1,4,4,4,5,4,3,4,2,3,3
1706767854000,13,0,black;brown;yellow,4,4,1,1,1,2,3,5,5,5,3,2,1,3,5
1706767905000,12,1,white,1,2,3,2,4,1,3,5,5,5,3,2,2,3,4
1706767984000,36,1,black;white;brown,5,3,3,2,3,4,4,5,4,5,4,2,3,1,5
1706767994000,4,0,brown;yellow,4,4,3,1,1,4,4,4,4,4,3,3,4,4,3
1706768016000,2,0,cream,3,4,3,2,3,4,3,4,4,5,2,2,1,2,5
1706768016000,36,1,black;white;brown,3,3,2,1,4,4,3,4,4,5,5,1,2,4,2
1706768050000,1,1,white;brown,2,3,1,1,3,5,3,3,5,5,5,2,1,5,3
1706768090000,20,2,white;brown,2,2,1,1,1,2,5,3,4,5,1,2,2,3,5
1706768117000,9,0,brown;yellow,2,2,2,1,1,1,5,4,5,5,4,1,1,5,4
1706768156000,37,0,black;white,3,3,1,1,1,4,5,5,4,2,1,5,2,3,2
1706768174000,20,2,black;white;brown,2,2,2,1,2,4,4,4,4,2,1,2,2,3,4
1706768208000,36,1,white;red,3,3,3,1,2,5,3,3,4,5,3,2,5,2,4
1706768227000,9,0,red,1,1,1,1,2,5,4,5,4,3,5,2,1,5,1
1706768257000,0,1,black,2,3,1,1,1,1,2,2,3,4,3,2,3,4,2
1706768289000,3,0,cream,4,3,5,2,3,5,3,5,3,5,5,2,2,3,1
1706768290000,38,1,black;white,3,3,1,1,1,2,4,4,4,4,4,1,1,2,4
1706768466000,46,0,brown,5,5,5,3,3,5,5,5,5,3,3,3,3,3,4
1706768511000,9,1,white;yellow;red,2,3,3,1,4,5,4,4,5,3,3,1,4,4,5
1706768590000,9,0,brown;yellow;red;cream,3,3,2,1,2,4,5,5,5,3,3,2,1,4,1
1706768606000,20,1,white,2,2,1,1,1,3,3,5,5,5,5,1,3,4,1
1706768650000,45,1,white;brown,4,4,1,1,1,2,4,4,3,4,3,3,2,2,5
1706768707000,14,0,white;yellow,5,5,3,1,5,5,3,5,4,4,1,3,2,4,5
1706768735000,9,1,white;red,3,3,3,1,3,5,5,5,5,4,3,2,2,2,3
1706768761000,41,1,cream,4,2,2,1,2,3,2,2,3,4,4,3,1,2,4
1706768764000,21,1,red,2,2,1,1,1,2,2,2,2,4,3,2,2,1,2
1706768783000,4,1,black;brown,4,4,3,1,4,4,5,5,5,2,1,3,2,4,5
1706768834000,2,2,black,4,3,2,2,1,3,3,3,3,5,1,2,1,4,5
1706768847000,3,1,cream,4,4,4,2,4,5,5,4,4,4,3,1,4,5,3
1706768849000,9,1,white;red,2,2,1,1,1,3,5,5,4,5,3,1,4,5,1
1706768876000,9,1,white;yellow,3,2,3,1,2,1,4,4,4,1,1,4,1,4,5
1706768918000,9,0,yellow;red;cream,1,1,2,1,5,5,5,5,4,4,4,1,3,4,4
1706769109000,38,1,white;brown;yellow,3,4,1,1,2,2,4,5,3,5,4,1,3,5,4
1706769110000,20,1,brown,2,2,1,1,1,5,5,5,5,5,5,1,3,1,2
1706769143000,20,0,white,2,3,1,1,2,3,5,5,5,5,2,1,5,1,4
1706769171000,46,1,black;white,5,5,5,5,5,5,3,5,3,5,1,1,2,5,4
1706769191000,3,1,yellow,3,3,5,3,2,4,5,3,5,5,5,2,1,5,5
1706769198000,13,1,black;brown,5,5,3,1,2,3,5,5,5,4,4,3,4,4,5
1706769226000,4,2,black;white;gray,4,4,4,4,4,5,3,5,5,5,4,2,3,5,5
1706769259000,9,1,brown;yellow;red,2,3,2,1,2,2,3,5,3,5,1,2,1,4,1
1706769369000,12,2,white,4,4,4,4,5,1,4,4,5,5,5,2,1,3,5
1706769392000,20,0,white;brown;cream,3,4,3,1,3,5,5,5,5,5,5,2,5,5,5
1706769475000,16,1,black,3,3,5,1,5,1,3,5,5,5,5,1,3,3,3
1706769528000,9,1,white;yellow;red,3,3,3,1,4,3,5,5,5,5,3,1,3,4,5
1706769535000,13,1,black;brown,4,5,2,1,2,2,4,5,5,3,3,2,3,4,5
1706769570000,41,1,yellow,5,5,1,1,2,3,2,3,3,5,5,3,4,5,2
1706769605000,20,2,black;white;brown,2,3,2,1,2,5,5,4,5,2,2,2,1,5,5
1706769606000,45,1,black;white,5,5,1,1,2,5,4,4,5,5,3,3,1,4,3
1706769614000,13,2,black;red,5,5,3,1,2,3,4,4,5,3,2,2,1,5,5
1706769620000,9,1,yellow,2,2,3,1,2,5,5,5,4,2,3,4,5,3,3
1706769728000,40,0,black;white;brown,3,4,2,2,1,3,3,4,4,4,3,3,2,3,2
1706769734000,20,1,white;brown,2,2,3,2,3,4,5,5,5,2,2,4,2,1,5
1706769797000,22,1,yellow,3,3,2,1,2,1,5,3,4,5,5,2,2,3,3
1706769797000,20,1,white;brown,3,3,4,1,4,5,4,5,4,3,3,2,3,3,4
1706769817000,20,1,white;brown,2,2,1,1,1,4,5,5,4,5,1,2,3,4,1
1706769830000,39,0,black,5,3,1,1,3,3,5,5,5,5,5,1,1,3,5
1706769857000,9,1,black;brown;yellow;cream,2,3,3,1,2,4,4,5,5,5,3,1,2,4,4
1706769876000,9,1,white;yellow,2,2,1,1,3,3,3,4,4,2,3,1,3,5,2
1706769896000,9,1,white;brown;yellow;cream,3,3,2,1,2,2,4,5,4,4,4,1,2,1,2
1706769896000,39,2,black,5,3,1,1,3,3,4,5,5,5,5,2,1,3,5
1706769914000,26,1,white;brown;red;cream,4,3,4,3,2,3,5,5,5,5,5,1,4,2,5
1706769921000,20,1,white;brown,3,3,2,1,1,3,5,5,5,5,5,1,1,3,5
1706769950000,16,2,black,2,2,4,5,4,3,5,3,5,5,5,2,4,2,4
1706769966000,45,1,black,2,2,1,1,3,3,4,5,4,5,2,1,1,5,4
1706769976000,44,2,white,1,1,2,3,3,1,4,5,3,5,1,3,1,5,1
1706770039000,45,1,brown,4,2,1,1,3,3,5,5,5,5,1,1,1,5,5
1706770073000,40,0,black;white;gray,2,4,4,4,5,5,5,5,5,4,5,2,3,3,2
1706770076000,0,1,black;brown,1,2,1,1,3,3,3,4,4,3,3,1,3,3,5
1706770111000,45,0,white,1,1,1,1,1,3,5,5,5,5,1,2,2,4,3
1706770123000,15,1,black;white;brown,4,3,2,1,1,2,4,5,4,5,5,1,3,3,1
1706770219000,9,1,white;yellow;cream,3,3,3,1,5,5,5,5,5,3,1,2,1,5,4
1706770221000,2,1,brown;cream,4,3,2,1,2,2,4,4,5,5,3,2,3,5,4
1706770260000,9,1,white;red;cream,3,3,3,1,2,3,3,3,3,3,4,1,1,5,3
1706770384000,20,1,black;white;brown,2,3,3,1,2,5,5,4,3,2,1,2,5,5,1
1706770426000,46,1,black;white,5,3,4,2,4,4,4,5,4,5,5,1,2,4,2
1706770433000,13,1,black;brown,4,3,3,1,2,5,4,5,5,4,3,1,2,3,5
1706770487000,26,1,white;gray;yellow,3,3,4,2,3,4,4,5,5,3,4,2,4,3,4
1706770497000,20,1,white;brown,4,4,1,1,1,1,3,4,2,4,2,1,3,5,2
1706770523000,41,2,black;white;brown,4,2,2,1,1,3,3,3,4,5,3,2,1,4,5
1706770525000,22,1,yellow,3,4,2,1,2,5,5,5,5,5,4,3,2,5,4
1706770549000,20,1,white;brown;yellow,2,2,3,2,2,2,5,5,5,4,4,3,2,5,5
1706770567000,16,1,black,3,3,5,5,4,2,5,5,5,5,3,1,5,1,3
1706770570000,7,2,white;brown,4,3,5,4,1,5,3,1,3,5,3,1,3,5,5
1706770605000,0,1,brown,3,3,3,3,3,2,4,3,3,3,2,2,2,2,4
1706770624000,46,2,black;white,5,5,4,1,3,3,3,4,5,5,5,2,3,3,2
1706770632000,21,1,white;brown,3,3,1,1,2,2,3,5,2,4,3,2,1,2,4
1706770638000,1,1,black;white,3,3,2,1,2,3,3,2,3,5,3,3,2,4,2
1706770674000,7,0,black;white,3,3,3,1,2,2,5,4,5,4,1,2,3,4,4
1706770681000,20,1,white;brown,2,5,1,1,1,1,5,5,5,5,1,3,4,1,3
1706770684000,9,1,white;yellow;cream,2,3,3,1,3,5,3,5,4,5,3,1,1,5,5
1706770684000,9,1,black;brown;red;cream,3,3,3,1,1,5,3,3,5,3,1,1,1,5,3
1706770689000,7,1,white;yellow,3,3,5,4,1,5,3,3,3,5,1,2,2,2,3
1706770737000,0,2,black;brown,4,3,1,1,3,1,3,4,4,5,2,2,4,4,4
1706770779000,36,2,black;white;red,3,4,2,1,3,1,2,2,1,4,3,5,5,3,3
1706770782000,7,1,black;white,3,4,5,4,1,5,5,5,5,5,1,1,3,2,2
1706770819000,25,1,gray;cream,2,4,3,1,4,1,5,5,5,5,5,4,4,1,5
1706770872000,26,1,black;white;brown,3,3,5,3,1,5,5,5,5,5,1,1,5,3,5
1706770880000,7,2,black;white,3,3,3,2,4,4,5,5,5,5,5,4,3,5,5
1706770883000,27,2,white;brown,5,5,5,5,5,5,3,5,4,5,5,3,3,1,3
1706770885000,2,0,black,4,3,1,1,1,3,5,5,5,5,3,1,2,3,3
1706770902000,10,1,red,1,5,1,1,1,2,2,3,4,5,5,2,2,4,3
1706770930000,20,2,black;white;brown,3,3,3,1,2,4,4,3,4,3,3,2,2,1,3
1706770950000,7,1,black;white,2,2,3,2,3,2,5,5,2,5,3,1,3,5,2
1706770978000,20,1,white;yellow,1,2,3,3,3,1,5,5,5,3,4,4,3,1,4
1706771011000,4,1,black;brown,5,4,5,1,3,3,5,5,4,4,4,1,1,4,5
1706771035000,1,1,black,1,5,1,1,4,4,4,5,4,5,5,3,1,4,4
1706771060000,20,1,white;brown,2,3,1,1,1,5,5,5,5,5,1,2,4,3,2
1706771073000,0,1,black;brown,2,3,1,1,1,2,5,5,3,1,1,4,5,3,4
1706771080000,9,0,white;yellow;red,2,3,1,1,1,5,3,3,2,4,3,5,1,4,1
1706771088000,4,0,black;red,4,4,5,1,2,4,5,5,5,3,1,4,4,3,4
1706771093000,43,1,yellow,5,4,2,1,2,2,5,5,5,3,2,2,3,5,5
1706771130000,29,1,black,2,4,2,1,1,4,4,5,3,4,1,1,2,3,3
1706771131000,12,2,white,1,1,5,2,5,2,1,3,3,4,4,4,1,5,1
1706771166000,16,1,black,3,3,4,3,5,1,5,3,5,3,1,1,3,5,5
1706771172000,20,1,black;white;brown,2,4,1,1,2,4,3,2,5,4,1,2,5,4,2
1706771209000,20,1,white;brown,3,3,1,1,1,1,5,5,5,5,4,2,2,2,2
1706771212000,13,1,black;brown,5,4,2,1,2,5,3,3,4,3,1,2,2,4,5
1706771265000,9,0,white;yellow;cream,3,3,3,1,2,2,4,5,5,4,5,2,2,4,3
1706771295000,45,1,white;gray,2,3,1,1,2,1,3,5,5,5,5,1,1,5,1
1706771300000,45,2,black;white;red,3,4,2,1,1,2,4,5,5,5,5,3,3,3,3
1706771315000,3,1,white,5,5,5,4,5,5,5,4,5,5,4,4,1,4,4
1706771315000,45,0,black;white,3,3,1,1,1,1,5,5,3,3,1,2,2,3,5
1706771324000,21,2,white,3,3,1,1,2,2,5,5,3,5,3,4,1,2,1
1706771326000,21,0,black;white,4,5,2,1,2,1,3,5,3,5,4,2,1,2,2
1706771366000,9,0,white;red,3,3,3,1,2,4,4,4,4,2,4,1,3,4,1
1706771367000,29,1,cream,3,2,2,1,1,4,3,3,3,4,2,5,1,4,3
1706771391000,4,2,black;brown,4,4,3,1,1,2,3,3,5,4,4,3,4,4,5
1706771432000,27,1,white;red,5,4,2,1,1,4,3,5,5,5,5,1,2,4,4
1706771450000,26,1,black;white;gray;yellow,5,5,4,2,5,4,5,5,5,3,3,2,3,3,2
1706771475000,11,1,cream,1,3,1,1,4,3,1,5,5,5,5,1,1,5,3
1706771484000,20,1,black;white,1,3,1,1,3,4,5,5,5,5,5,5,3,1,3
1706771497000,20,0,black;white,2,2,1,1,2,3,4,5,4,5,4,1,3,2,1
1706771515000,20,0,black;white;brown,3,3,1,1,1,5,5,4,4,4,1,1,4,3,5
1706771542000,19,2,white,1,3,2,1,5,1,3,4,5,5,3,1,1,5,5
1706771591000,4,1,black;white;brown,4,3,4,1,3,4,4,4,5,3,1,1,4,3,5
1706771606000,13,0,black;brown,4,3,1,1,2,2,4,5,5,5,4,2,2,4,5
1706771610000,37,0,white;brown,3,4,2,1,2,3,5,5,5,4,4,1,3,3,2
1706771668000,26,1,black;white;gray;brown,3,3,4,3,4,5,4,5,5,3,2,3,4,3,4
1706771697000,11,0,black;cream,2,3,3,1,3,5,3,4,4,5,3,3,1,4,4
1706771704000,20,2,black;white;brown,2,2,1,1,2,1,5,5,5,5,5,2,2,5,3
1706771721000,9,1,red,3,3,4,1,2,4,4,3,1,2,1,2,4,4,2
1706771767000,20,1,white;brown;yellow,2,4,1,1,2,3,5,4,5,3,1,2,5,4,4
1706771776000,20,1,white;brown,2,2,1,1,1,2,3,5,4,5,4,2,2,5,5
1706771819000,9,1,black,3,3,2,1,1,3,3,2,5,3,1,1,1,5,3
1706771820000,3,1,white,5,4,4,1,5,5,3,5,5,5,5,2,1,5,5
1706771831000,20,1,white;brown,2,2,2,2,3,3,3,3,4,4,4,3,3,5,3
1706771910000,12,2,black;white,2,4,3,5,5,1,3,4,4,5,4,3,1,4,4
1706771949000,9,0,white;yellow,3,3,3,1,3,3,4,4,3,3,3,1,1,5,2
1706771993000,20,0,black;white,2,4,1,1,1,4,5,5,5,4,5,3,4,5,5
1706772026000,21,1,white,3,3,1,1,3,3,3,5,4,4,4,3,2,4,3
1706772072000,13,1,black;brown;yellow,4,4,3,2,2,4,5,5,5,5,3,2,1,5,5
1706772105000,16,1,black,2,3,5,5,4,1,4,5,5,5,5,1,4,5,3
1706772110000,43,1,red,3,3,2,1,3,2,5,5,4,4,4,1,1,2,5
1706772111000,46,1,black,5,4,4,2,4,3,3,4,4,5,3,1,2,1,3
